I?h]@eOWG,ILP,4,0,4,000321023231012,010001010001100,100010010100001,010100100010001
I?h]@eOWG,ILP,4,0,6,000302321231103,100100001001010,001001100100010,010100100010001
I?h]@eOWG,ILP,4,0,8,000321312120230,100010010100001,001010001010100,100100001001010
I?h]@eOWG,ILP,4,1,5,321000231023012,001010001010100,010100100010001,100010010100001
I?h]@eOWG,ILP,4,1,6,302000231321103,100100001001010,001001100100010,100010010100001
I?h]@eOWG,ILP,4,1,9,321000130123210,001001100100010,001010001010100,100010010100001
I?h]@eOWG,ILP,4,2,4,032321000231013,010001010001100,001010001010100,010100100010001
I?h]@eOWG,ILP,4,2,7,321312000102203,001001100100010,010001010001100,100100001001010
I?h]@eOWG,ILP,3,2,9,321310000213130,001010001010100,010001010001100,100100001001010
I?h]@eOWG,ILP,4,3,5,321032231000013,001010001010100,010001010001100,100010010100001
I?h]@eOWG,ILP,4,3,7,321312201000103,001010001010100,010001010001100,100010010100001
I?h]@eOWG,ILP,4,3,8,320312213000130,100010010100001,010100100010001,100100001001010
I?h]@eOWG,ILP,3,4,5,032023032023011,100010010100001,001010001010100,010001010001100
I?h]@eOWG,ILP,3,6,7,302302203203101,001010001010100,001001100100010,100100001001010
I?h]@eOWG,ILP,3,8,9,320230230320110,010001010001100,010100100010001,100010010100001
